orderdetail_key,order_id,product_id,customer_id,employee_id,shipper_id,order_date_key,shipped_date_key,quantity,unit_price,discount,revenue,product_name,category_name,list_price,supplier_id,supplier_name,supplier_country,customer_name,customer_region,customer_country,latitude,longitude,order_date,order_year,order_month,order_quarter,order_weekday,shipped_date,shipped_year,shipped_month,shipped_quarter,shipped_weekday,ship_delay_days
26,10256,77,88,3,2,19960715,19960717,12,10.4,0,124.80000000000001,Original Frankfurter grÃ¼ne SoÃŸe,Condiments,13,12,Plutzer LebensmittelgroÃŸmÃ¤rkte AG,Germany,Wellington Importadora,SP,Brazil,-14.235004,-51.92528,1996-07-15 00:00:00.000,1996,7,3,1,1996-07-17 00:00:00.000,1996,7,3,3,2
27,10257,27,35,4,3,19960716,19960722,25,35.1,0,877.5,Schoggi Schokolade,Confections,43.9,11,Heli SÃ¼ÃŸwaren GmbH & Co. KG,Germany,HILARION-Abastos,TÃ¡chira,Venezuela,6.42375,-66.58973,1996-07-16 00:00:00.000,1996,7,3,2,1996-07-22 00:00:00.000,1996,7,3,1,6
28,10257,39,35,4,3,19960716,19960722,6,14.4,0,86.4,Chartreuse verte,Beverages,18,18,Aux joyeux ecclÃ©siastiques,France,HILARION-Abastos,TÃ¡chira,Venezuela,6.42375,-66.58973,1996-07-16 00:00:00.000,1996,7,3,2,1996-07-22 00:00:00.000,1996,7,3,1,6
29,10257,77,35,4,3,19960716,19960722,15,10.4,0,156,Original Frankfurter grÃ¼ne SoÃŸe,Condiments,13,12,Plutzer LebensmittelgroÃŸmÃ¤rkte AG,Germany,HILARION-Abastos,TÃ¡chira,Venezuela,6.42375,-66.58973,1996-07-16 00:00:00.000,1996,7,3,2,1996-07-22 00:00:00.000,1996,7,3,1,6
30,10258,2,20,1,1,19960717,19960723,50,15.2,0.2,608,Chang,Beverages,19,1,Exotic Liquids,United Kingdom,Ernst Handel,NULL,Austria,47.516231,14.550072,1996-07-17 00:00:00.000,1996,7,3,3,1996-07-23 00:00:00.000,1996,7,3,2,6
31,10258,5,20,1,1,19960717,19960723,65,17,0.2,884,Chef Anton's Gumbo Mix,Condiments,21.35,2,New Orleans Cajun Delights,United States,Ernst Handel,NULL,Austria,47.516231,14.550072,1996-07-17 00:00:00.000,1996,7,3,3,1996-07-23 00:00:00.000,1996,7,3,2,6
32,10258,32,20,1,1,19960717,19960723,6,25.6,0.2,122.88000000000002,Mascarpone Fabioli,Dairy Products,32,14,Formaggi Fortini s.r.l.,Italy,Ernst Handel,NULL,Austria,47.516231,14.550072,1996-07-17 00:00:00.000,1996,7,3,3,1996-07-23 00:00:00.000,1996,7,3,2,6
33,10259,21,13,4,3,19960718,19960725,10,8,0,80,Sir Rodney's Scones,Confections,10,8,Specialty Biscuits Ltd.,United Kingdom,Centro comercial Moctezuma,NULL,Mexico,23.634501,-102.552784,1996-07-18 00:00:00.000,1996,7,3,4,1996-07-25 00:00:00.000,1996,7,3,4,7
34,10259,37,13,4,3,19960718,19960725,1,20.8,0,20.8,Gravad lax,Seafood,26,17,Svensk SjÃ¶fÃ¶da AB,Sweden,Centro comercial Moctezuma,NULL,Mexico,23.634501,-102.552784,1996-07-18 00:00:00.000,1996,7,3,4,1996-07-25 00:00:00.000,1996,7,3,4,7
35,10260,41,56,4,1,19960719,19960729,16,7.7,0.25,92.4,Jack's New England Clam Chowder,Seafood,9.65,19,New England Seafood Cannery,United States,Ottilies KÃ¤seladen,NULL,Germany,51.165691,10.451526,1996-07-19 00:00:00.000,1996,7,3,5,1996-07-29 00:00:00.000,1996,7,3,1,10
36,10260,57,56,4,1,19960719,19960729,50,15.6,0,780,Ravioli Angelo,Grains/Cereals,19.5,26,Pasta Buttini s.r.l.,Italy,Ottilies KÃ¤seladen,NULL,Germany,51.165691,10.451526,1996-07-19 00:00:00.000,1996,7,3,5,1996-07-29 00:00:00.000,1996,7,3,1,10
37,10260,62,56,4,1,19960719,19960729,15,39.4,0.25,443.25,Tarte au sucre,Confections,49.3,29,ForÃªts d'Ã©rables,Canada,Ottilies KÃ¤seladen,NULL,Germany,51.165691,10.451526,1996-07-19 00:00:00.000,1996,7,3,5,1996-07-29 00:00:00.000,1996,7,3,1,10
38,10260,70,56,4,1,19960719,19960729,21,12,0.25,189,Outback Lager,Beverages,15,7,Pavlova Ltd.,Australia,Ottilies KÃ¤seladen,NULL,Germany,51.165691,10.451526,1996-07-19 00:00:00.000,1996,7,3,5,1996-07-29 00:00:00.000,1996,7,3,1,10
39,10261,21,61,4,2,19960719,19960730,20,8,0,160,Sir Rodney's Scones,Confections,10,8,Specialty Biscuits Ltd.,United Kingdom,Que DelÃ­cia,RJ,Brazil,-14.235004,-51.92528,1996-07-19 00:00:00.000,1996,7,3,5,1996-07-30 00:00:00.000,1996,7,3,2,11
40,10261,35,61,4,2,19960719,19960730,20,14.4,0,288,Steeleye Stout,Beverages,18,16,Bigfoot Breweries,United States,Que DelÃ­cia,RJ,Brazil,-14.235004,-51.92528,1996-07-19 00:00:00.000,1996,7,3,5,1996-07-30 00:00:00.000,1996,7,3,2,11
41,10262,5,65,8,3,19960722,19960725,12,17,0.2,163.20000000000002,Chef Anton's Gumbo Mix,Condiments,21.35,2,New Orleans Cajun Delights,United States,Rattlesnake Canyon Grocery,NM,United States,37.09024,-95.712891,1996-07-22 00:00:00.000,1996,7,3,1,1996-07-25 00:00:00.000,1996,7,3,4,3
42,10262,7,65,8,3,19960722,19960725,15,24,0,360,Uncle Bob's Organic Dried Pears,Produce,30,3,Grandma Kelly's Homestead,United States,Rattlesnake Canyon Grocery,NM,United States,37.09024,-95.712891,1996-07-22 00:00:00.000,1996,7,3,1,1996-07-25 00:00:00.000,1996,7,3,4,3
42,10262,7,65,8,3,19960722,19960725,15,24,0,360,Uncle Bob's Organic Dried Pears,Produce,33.1,3,Grandma Kelly's Homestead,United States,Rattlesnake Canyon Grocery,NM,United States,37.09024,-95.712891,1996-07-22 00:00:00.000,1996,7,3,1,1996-07-25 00:00:00.000,1996,7,3,4,3
43,10262,56,65,8,3,19960722,19960725,2,30.4,0,60.8,Gnocchi di nonna Alice,Grains/Cereals,38,26,Pasta Buttini s.r.l.,Italy,Rattlesnake Canyon Grocery,NM,United States,37.09024,-95.712891,1996-07-22 00:00:00.000,1996,7,3,1,1996-07-25 00:00:00.000,1996,7,3,4,3
44,10263,16,20,9,3,19960723,19960731,60,13.9,0.25,625.5,Pavlova,Confections,17.45,7,Pavlova Ltd.,Australia,Ernst Handel,NULL,Austria,47.516231,14.550072,1996-07-23 00:00:00.000,1996,7,3,2,1996-07-31 00:00:00.000,1996,7,3,3,8
45,10263,24,20,9,3,19960723,19960731,28,3.6,0,100.8,GuaranÃ¡ FantÃ¡stica,Beverages,4.5,10,Refrescos Americanas LTDA,Brazil,Ernst Handel,NULL,Austria,47.516231,14.550072,1996-07-23 00:00:00.000,1996,7,3,2,1996-07-31 00:00:00.000,1996,7,3,3,8
46,10263,30,20,9,3,19960723,19960731,60,20.7,0.25,931.5,Nord-Ost Matjeshering,Seafood,25.89,13,Nord-Ost-Fisch Handelsgesellschaft mbH,Germany,Ernst Handel,NULL,Austria,47.516231,14.550072,1996-07-23 00:00:00.000,1996,7,3,2,1996-07-31 00:00:00.000,1996,7,3,3,8
47,10263,74,20,9,3,19960723,19960731,36,8,0.25,216,Longlife Tofu,Produce,10,4,Tokyo Traders,Japan,Ernst Handel,NULL,Austria,47.516231,14.550072,1996-07-23 00:00:00.000,1996,7,3,2,1996-07-31 00:00:00.000,1996,7,3,3,8
48,10264,2,24,6,3,19960724,19960823,35,15.2,0,532,Chang,Beverages,19,1,Exotic Liquids,United Kingdom,Folk och fÃ¤ HB,NULL,Sweden,60.128161,18.643501,1996-07-24 00:00:00.000,1996,7,3,3,1996-08-23 00:00:00.000,1996,8,3,5,99
49,10264,41,24,6,3,19960724,19960823,25,7.7,0.15,163.625,Jack's New England Clam Chowder,Seafood,9.65,19,New England Seafood Cannery,United States,Folk och fÃ¤ HB,NULL,Sweden,60.128161,18.643501,1996-07-24 00:00:00.000,1996,7,3,3,1996-08-23 00:00:00.000,1996,8,3,5,99
50,10265,17,7,2,1,19960725,19960812,30,31.2,0,936,Alice Mutton,Meat/Poultry,39,7,Pavlova Ltd.,Australia,Blondesddsl pÃ¨re et fils,NULL,France,46.227638,2.213749,1996-07-25 00:00:00.000,1996,7,3,4,1996-08-12 00:00:00.000,1996,8,3,1,87
51,10265,70,7,2,1,19960725,19960812,20,12,0,240,Outback Lager,Beverages,15,7,Pavlova Ltd.,Australia,Blondesddsl pÃ¨re et fils,NULL,France,46.227638,2.213749,1996-07-25 00:00:00.000,1996,7,3,4,1996-08-12 00:00:00.000,1996,8,3,1,87
52,10266,12,87,3,3,19960726,19960731,12,30.4,0.05,346.55999999999995,Queso Manchego La Pastora,Dairy Products,38,5,Cooperativa de Quesos 'Las Cabras',Spain,Wartian Herkku,NULL,Finland,61.92411,25.748151,1996-07-26 00:00:00.000,1996,7,3,5,1996-07-31 00:00:00.000,1996,7,3,3,5
52,10266,12,87,3,3,19960726,19960731,12,30.4,0.05,346.55999999999995,Queso Manchego La Pastora,Dairy Products,41.2,5,Cooperativa de Quesos 'Las Cabras',Spain,Wartian Herkku,NULL,Finland,61.92411,25.748151,1996-07-26 00:00:00.000,1996,7,3,5,1996-07-31 00:00:00.000,1996,7,3,3,5
53,10267,40,25,4,1,19960729,19960806,50,14.7,0,735,Boston Crab Meat,Seafood,18.4,19,New England Seafood Cannery,United States,Frankenversand,NULL,Germany,51.165691,10.451526,1996-07-29 00:00:00.000,1996,7,3,1,1996-08-06 00:00:00.000,1996,8,3,2,77
54,10267,59,25,4,1,19960729,19960806,70,44,0.15,2618,Raclette Courdavault,Dairy Products,55,28,Gai pÃ¢turage,France,Frankenversand,NULL,Germany,51.165691,10.451526,1996-07-29 00:00:00.000,1996,7,3,1,1996-08-06 00:00:00.000,1996,8,3,2,77
55,10267,76,25,4,1,19960729,19960806,15,14.4,0.15,183.6,LakkalikÃ¶Ã¶ri,Beverages,18,23,Karkki Oy,Finland,Frankenversand,NULL,Germany,51.165691,10.451526,1996-07-29 00:00:00.000,1996,7,3,1,1996-08-06 00:00:00.000,1996,8,3,2,77
56,10268,29,33,8,3,19960730,19960802,10,99,0,990,ThÃ¼ringer Rostbratwurst,Meat/Poultry,123.79,12,Plutzer LebensmittelgroÃŸmÃ¤rkte AG,Germany,GROSELLA-Restaurante,DF,Venezuela,6.42375,-66.58973,1996-07-30 00:00:00.000,1996,7,3,2,1996-08-02 00:00:00.000,1996,8,3,5,72
57,10268,72,33,8,3,19960730,19960802,4,27.8,0,111.2,Mozzarella di Giovanni,Dairy Products,34.8,14,Formaggi Fortini s.r.l.,Italy,GROSELLA-Restaurante,DF,Venezuela,6.42375,-66.58973,1996-07-30 00:00:00.000,1996,7,3,2,1996-08-02 00:00:00.000,1996,8,3,5,72
58,10269,33,89,5,1,19960731,19960809,60,2,0.05,114,Geitost,Dairy Products,2.5,15,Norske Meierier,Norway,White Clover Markets,WA,United States,37.09024,-95.712891,1996-07-31 00:00:00.000,1996,7,3,3,1996-08-09 00:00:00.000,1996,8,3,5,78
59,10269,72,89,5,1,19960731,19960809,20,27.8,0.05,528.1999999999999,Mozzarella di Giovanni,Dairy Products,34.8,14,Formaggi Fortini s.r.l.,Italy,White Clover Markets,WA,United States,37.09024,-95.712891,1996-07-31 00:00:00.000,1996,7,3,3,1996-08-09 00:00:00.000,1996,8,3,5,78
60,10270,36,87,1,1,19960801,19960802,30,15.2,0,456,Inlagd Sill,Seafood,19,17,Svensk SjÃ¶fÃ¶da AB,Sweden,Wartian Herkku,NULL,Finland,61.92411,25.748151,1996-08-01 00:00:00.000,1996,8,3,4,1996-08-02 00:00:00.000,1996,8,3,5,1
61,10270,43,87,1,1,19960801,19960802,25,36.8,0,919.9999999999999,Ipoh Coffee,Beverages,46,20,Leka Trading,Singapore,Wartian Herkku,NULL,Finland,61.92411,25.748151,1996-08-01 00:00:00.000,1996,8,3,4,1996-08-02 00:00:00.000,1996,8,3,5,1
62,10271,33,75,6,2,19960801,19960830,24,2,0,48,Geitost,Dairy Products,2.5,15,Norske Meierier,Norway,Split Rail Beer & Ale,WY,United States,37.09024,-95.712891,1996-08-01 00:00:00.000,1996,8,3,4,1996-08-30 00:00:00.000,1996,8,3,5,29
63,10272,20,65,6,2,19960802,19960806,6,64.8,0,388.79999999999995,Sir Rodney's Marmalade,Confections,81,8,Specialty Biscuits Ltd.,United Kingdom,Rattlesnake Canyon Grocery,NM,United States,37.09024,-95.712891,1996-08-02 00:00:00.000,1996,8,3,5,1996-08-06 00:00:00.000,1996,8,3,2,4
64,10272,31,65,6,2,19960802,19960806,40,10,0,400,Gorgonzola Telino,Dairy Products,12.5,14,Formaggi Fortini s.r.l.,Italy,Rattlesnake Canyon Grocery,NM,United States,37.09024,-95.712891,1996-08-02 00:00:00.000,1996,8,3,5,1996-08-06 00:00:00.000,1996,8,3,2,4
65,10272,72,65,6,2,19960802,19960806,24,27.8,0,667.2,Mozzarella di Giovanni,Dairy Products,34.8,14,Formaggi Fortini s.r.l.,Italy,Rattlesnake Canyon Grocery,NM,United States,37.09024,-95.712891,1996-08-02 00:00:00.000,1996,8,3,5,1996-08-06 00:00:00.000,1996,8,3,2,4
66,10273,10,63,3,3,19960805,19960812,24,24.8,0.05,565.44,Ikura,Seafood,31,4,Tokyo Traders,Japan,QUICK-Stop,NULL,Germany,51.165691,10.451526,1996-08-05 00:00:00.000,1996,8,3,1,1996-08-12 00:00:00.000,1996,8,3,1,7
67,10273,31,63,3,3,19960805,19960812,15,10,0.05,142.5,Gorgonzola Telino,Dairy Products,12.5,14,Formaggi Fortini s.r.l.,Italy,QUICK-Stop,NULL,Germany,51.165691,10.451526,1996-08-05 00:00:00.000,1996,8,3,1,1996-08-12 00:00:00.000,1996,8,3,1,7
68,10273,33,63,3,3,19960805,19960812,20,2,0,40,Geitost,Dairy Products,2.5,15,Norske Meierier,Norway,QUICK-Stop,NULL,Germany,51.165691,10.451526,1996-08-05 00:00:00.000,1996,8,3,1,1996-08-12 00:00:00.000,1996,8,3,1,7
69,10273,40,63,3,3,19960805,19960812,60,14.7,0.05,837.9,Boston Crab Meat,Seafood,18.4,19,New England Seafood Cannery,United States,QUICK-Stop,NULL,Germany,51.165691,10.451526,1996-08-05 00:00:00.000,1996,8,3,1,1996-08-12 00:00:00.000,1996,8,3,1,7
70,10273,76,63,3,3,19960805,19960812,33,14.4,0.05,451.43999999999994,LakkalikÃ¶Ã¶ri,Beverages,18,23,Karkki Oy,Finland,QUICK-Stop,NULL,Germany,51.165691,10.451526,1996-08-05 00:00:00.000,1996,8,3,1,1996-08-12 00:00:00.000,1996,8,3,1,7
71,10274,71,85,6,1,19960806,19960816,20,17.2,0,344,Flotemysost,Dairy Products,21.5,15,Norske Meierier,Norway,Vins et alcools Chevalier,NULL,France,46.227638,2.213749,1996-08-06 00:00:00.000,1996,8,3,2,1996-08-16 00:00:00.000,1996,8,3,5,10
72,10274,72,85,6,1,19960806,19960816,7,27.8,0,194.6,Mozzarella di Giovanni,Dairy Products,34.8,14,Formaggi Fortini s.r.l.,Italy,Vins et alcools Chevalier,NULL,France,46.227638,2.213749,1996-08-06 00:00:00.000,1996,8,3,2,1996-08-16 00:00:00.000,1996,8,3,5,10
73,10275,24,49,1,1,19960807,19960809,12,3.6,0.05,41.04,GuaranÃ¡ FantÃ¡stica,Beverages,4.5,10,Refrescos Americanas LTDA,Brazil,Magazzini Alimentari Riuniti,NULL,Italy,41.87194,12.56738,1996-08-07 00:00:00.000,1996,8,3,3,1996-08-09 00:00:00.000,1996,8,3,5,2
74,10275,59,49,1,1,19960807,19960809,6,44,0.05,250.79999999999998,Raclette Courdavault,Dairy Products,55,28,Gai pÃ¢turage,France,Magazzini Alimentari Riuniti,NULL,Italy,41.87194,12.56738,1996-08-07 00:00:00.000,1996,8,3,3,1996-08-09 00:00:00.000,1996,8,3,5,2
75,10276,10,80,8,3,19960808,19960814,15,24.8,0,372,Ikura,Seafood,31,4,Tokyo Traders,Japan,Tortuga Restaurante,NULL,Mexico,23.634501,-102.552784,1996-08-08 00:00:00.000,1996,8,3,4,1996-08-14 00:00:00.000,1996,8,3,3,6
76,10276,13,80,8,3,19960808,19960814,10,4.8,0,48,Konbu,Seafood,6,6,Mayumi's,Japan,Tortuga Restaurante,NULL,Mexico,23.634501,-102.552784,1996-08-08 00:00:00.000,1996,8,3,4,1996-08-14 00:00:00.000,1996,8,3,3,6
77,10277,28,52,2,3,19960809,19960813,20,36.4,0,728,RÃ¶ssle Sauerkraut,Produce,45.6,12,Plutzer LebensmittelgroÃŸmÃ¤rkte AG,Germany,Morgenstern Gesundkost,NULL,Germany,51.165691,10.451526,1996-08-09 00:00:00.000,1996,8,3,5,1996-08-13 00:00:00.000,1996,8,3,2,4
78,10277,62,52,2,3,19960809,19960813,12,39.4,0,472.79999999999995,Tarte au sucre,Confections,49.3,29,ForÃªts d'Ã©rables,Canada,Morgenstern Gesundkost,NULL,Germany,51.165691,10.451526,1996-08-09 00:00:00.000,1996,8,3,5,1996-08-13 00:00:00.000,1996,8,3,2,4
79,10278,44,5,8,2,19960812,19960816,16,15.5,0,248,Gula Malacca,Condiments,19.45,20,Leka Trading,Singapore,Berglunds snabbkÃ¶p,NULL,Sweden,60.128161,18.643501,1996-08-12 00:00:00.000,1996,8,3,1,1996-08-16 00:00:00.000,1996,8,3,5,4
80,10278,59,5,8,2,19960812,19960816,15,44,0,660,Raclette Courdavault,Dairy Products,55,28,Gai pÃ¢turage,France,Berglunds snabbkÃ¶p,NULL,Sweden,60.128161,18.643501,1996-08-12 00:00:00.000,1996,8,3,1,1996-08-16 00:00:00.000,1996,8,3,5,4
81,10278,63,5,8,2,19960812,19960816,8,35.1,0,280.8,Vegie-spread,Condiments,43.9,7,Pavlova Ltd.,Australia,Berglunds snabbkÃ¶p,NULL,Sweden,60.128161,18.643501,1996-08-12 00:00:00.000,1996,8,3,1,1996-08-16 00:00:00.000,1996,8,3,5,4
82,10278,73,5,8,2,19960812,19960816,25,12,0,300,RÃ¶d Kaviar,Seafood,15,17,Svensk SjÃ¶fÃ¶da AB,Sweden,Berglunds snabbkÃ¶p,NULL,Sweden,60.128161,18.643501,1996-08-12 00:00:00.000,1996,8,3,1,1996-08-16 00:00:00.000,1996,8,3,5,4
83,10279,17,44,8,2,19960813,19960816,15,31.2,0.25,351,Alice Mutton,Meat/Poultry,39,7,Pavlova Ltd.,Australia,Lehmanns Marktstand,NULL,Germany,51.165691,10.451526,1996-08-13 00:00:00.000,1996,8,3,2,1996-08-16 00:00:00.000,1996,8,3,5,3
84,10280,24,5,2,1,19960814,19960912,12,3.6,0,43.2,GuaranÃ¡ FantÃ¡stica,Beverages,4.5,10,Refrescos Americanas LTDA,Brazil,Berglunds snabbkÃ¶p,NULL,Sweden,60.128161,18.643501,1996-08-14 00:00:00.000,1996,8,3,3,1996-09-12 00:00:00.000,1996,9,3,4,98
85,10280,55,5,2,1,19960814,19960912,20,19.2,0,384,PÃ¢tÃ© chinois,Meat/Poultry,24,25,Ma Maison,Canada,Berglunds snabbkÃ¶p,NULL,Sweden,60.128161,18.643501,1996-08-14 00:00:00.000,1996,8,3,3,1996-09-12 00:00:00.000,1996,9,3,4,98
86,10280,75,5,2,1,19960814,19960912,30,6.2,0,186,RhÃ¶nbrÃ¤u Klosterbier,Beverages,7.75,12,Plutzer LebensmittelgroÃŸmÃ¤rkte AG,Germany,Berglunds snabbkÃ¶p,NULL,Sweden,60.128161,18.643501,1996-08-14 00:00:00.000,1996,8,3,3,1996-09-12 00:00:00.000,1996,9,3,4,98
